Company,Job,Location,Salary,Skills
Biostrap,Machine Learning Engineer,"Mountain View, CA",0,
Ford Motor Company,Machine Learning for Autonomous Vehicles Research Engineer,"Palo Alto, CA 94303 (Duveneck-Saint Francis area)",0,
"Magic Leap, Inc.",Software Development Engineer in Test (Embedded Communicatio...,"Mountain View, CA 94040",0,
Natera,Senior Research Associate,"San Carlos, CA 94070",0,
Meta Company,Senior Machine Learning Engineer,"San Mateo, CA",0,
Facebook,"Research Scientist, PhD University Grad","Menlo Park, CA",0,
Stanford University,Lead Data Scientist,"Stanford, CA 94305",0,
Medable,Back-End Developer,"Palo Alto, CA",0,
Walmart eCommerce,Staff Research Engineer,"Sunnyvale, CA",0,
ZingBox,Data scientist,"Mountain View, CA",0,
Facebook,"Software Engineer, Machine Learning","Menlo Park, CA",0,
Tetration Analytics,Senior Software Engineer - API,"Palo Alto, CA","$140,000 a year",
Samsung Research America,Machine Learning/Deep Learning Research Engineer,"Mountain View, CA 94043",0,
Ford Motor Company,Autonomous Vehicle Research Scientist - Technology Scouting,"Palo Alto, CA",0,
Facebook,"Software Engineer, Machine Learning, Building 8","Menlo Park, CA",0,
Google,"Camera Systems Optical Engineer, Self-Driving Car, X","Mountain View, CA",0,
Google,"Software Engineer, Computer Vision (Tango)","Mountain View, CA",0,
Workbridge Associates,Data Scientist,"Menlo Park, CA","$100,000 - $200,000 a year",
Stanford University,Associate Director of Data Analysis and Customer Systems,"Stanford, CA 94305",0,
Theranos,"Scientist, Bioinformatics","Palo Alto, CA",0,
Stanford University,Bioinformatics Analyst,"Stanford, CA 94305",0,
Apple,Core OS Machine Learning and Differential Privacy Engineer,"Santa Clara Valley, CA",0,
Walmart eCommerce,Principal Data Scientist,"Sunnyvale, CA",0,
Walmart eCommerce,Principal Software Engineer,"Sunnyvale, CA",0,
"Park Computer Systems, Inc.",Software Apps Developer- Frontend Engineer,"Sunnyvale, CA",0,
Pall,Cell-Based Assay Applications Manager - ForteBio,"Menlo Park, CA",0,
Google,Staffing Services Associate,"Mountain View, CA",0,
Stanford Health Care,CLS Staff CHEM HEMA & COAG Clinical Lab,"Palo Alto, CA 94305",0,
Delta Products Corporation,Market Research Analyst,"Fremont, CA 94538 (Irvington area)",0,
Walmart eCommerce,CRC - Systems Engineer III,"Sunnyvale, CA",0,
Stanford University,Process Development and Manufacturing Scientist,"Stanford, CA 94305",0,
Tachyus,Product Manager,"San Mateo, CA",0,
Gilead,Research Scientist,"Foster City, CA",0,
Robert Walters,Lead Data Scientist,"Mountain View, CA",0,
Skytree - The Machine Learning Company,Big Data Automation Engineer (in QA),"San Jose, CA",0,
Lumentum Operations LLC,"Staff Laser Research Scientist (Research Scientist, Staff)","Milpitas, CA",0,
Quantifind,Senior Data Scientist,"Menlo Park, CA",0,
Gilead Sciences,Research Scientist,"Foster City, CA",0,
"GenapSys, Inc.",Software Engineer (Systems),"Redwood City, CA",0,
Tesla Motors,"Data Scientist, Autopilot Maps","Palo Alto, CA",0,
"GraphSQL, Inc.",Data Scientist,"Redwood City, CA",0,
Roche,"Principal Scientist I, Sequencing","Santa Clara, CA",0,
Gilead,"Research Scientist I, Analytical Ops","Foster City, CA",0,
Keysight Technologies,Mixed-Signal/Digital ASIC Research Lead,"Santa Clara, CA",0,
Criteo,Staff Research Scientist,"Palo Alto, CA 94301 (Professorville area)",0,
Storm8,Senior Data Scientist,"Redwood City, CA 94065",0,
Keysight Technologies,R&D System Engineer,"Santa Clara, CA",0,
Keysight Technologies,Computer Science Researcher,"Santa Clara, CA",0,
Quora,Technical Lead - Machine Learning,"Mountain View, CA",0,
Mist Systems,Software Engineer,"Cupertino, CA",0,
drawbridge,"Lead Data Scientist, Ad Team","San Mateo, CA 94403 (Sugerloaf area)",0,
Bina Technologies Inc.,Sr. Software Engineer - API,"Belmont, CA",0,
Stanford University,Administrative Services Administrator,"Stanford, CA 94305",0,
SMCI,Systems Analyst,"Mountain View, CA",0,
LeanTaas,Senior Data Scientist - LeanTaaS Healthcare/iQueue,"Santa Clara, CA",0,
"Cisco Systems, Inc.",Chief Scientist - Digital Simulation Modeling,"San Jose, CA",0,
Yodlee,Equity Research Analyst,"Redwood City, CA 94065",0,
Marketo,Hadoop Infrastructure Developer,"San Mateo, CA",0,
Chegg,"Data Scientist, Customer Success & Student Outcomes","Santa Clara, CA 95054",0,
Walmart eCommerce,Staff Data Scientist,"Sunnyvale, CA",0,
Quora,Product Manager - Ads,"Mountain View, CA",0,
"K&M Systems, Inc.",Telco Data Scientist,"Santa Clara, CA",$890 a day,visualization
Recruit Institute of Technology,Software Engineer - Machine Learning/Natural Language Proces...,"Mountain View, CA",0,
Jobspring Partners,Senior Front End Developer,"San Jose, CA 95113 (Downtown area)",$65 - $80 an hour,
SLAC National Accelerator Laboratory,Embedded Systems Software Engineer,"Menlo Park, CA",0,
Fanatics Inc.,"MTS 2, Data Scientist","San Mateo, CA",0,
Inscopix,Postdoctoral Research Scientist,"Palo Alto, CA 94303 (Duveneck-Saint Francis area)",0,
Quantifind,Senior Backend Engineer,"Menlo Park, CA",0,
Eurofins,Data Management Scientist,"Foster City, CA",0,
Boehringer Ingelheim,"Engineer II/Senior Engineer, MSAT Upstream","Fremont, CA",0,
Xilinx,Senior Data Systems Engineer,"San Jose, CA 95124 (Cambrian Park area)",0,
Workbridge Associates,"Principal UX Designer, Autonomous Driving","Santa Clara, CA","$150,000 - $180,000 a year",
Transcriptic,Lab Manager,"Menlo Park, CA 94025",0,
Discord,Sr. Data Engineer More Info,"Burlingame, CA",0,
Google,"Researcher/Robotics Software Engineer (Self-Driving Car), X","Mountain View, CA",0,
Gilead,"Sr Research Scientist II, Immunology-Oncology","Foster City, CA",0,
Jobspring Partners,Principal Scientist - ML,"San Jose, CA 95113 (Downtown area)","$180,000 - $200,000 a year",
DataVisor,Software Engineer - Algorithms/AI,"Mountain View, CA",0,
Ten-X,Senior Software Engineer,"Belmont, CA",0,
"GRAIL, Inc.",STAFF BIOINFORMATICS SCIENTIST,"Redwood City, CA",0,
Walmart eCommerce,Systems Administrator II,"Sunnyvale, CA",0,
MedImmune,"Scientist I / Scientist II, GXP Bioanalysis -- (Mountain Vie...","Mountain View, CA 94043",0,
Thermo Fisher Scientific,Bioinformatics Scientist,"Santa Clara, CA",0,
Samsung,Machine Learning/Deep Learning Research Engineer,"Mountain View, CA",0,
Google,"Product Analytics Lead, Data Science","Mountain View, CA",0,
AstraZeneca,"Scientist I / Scientist II, GXP Bioanalysis -- (Mountain Vie...","Mountain View, CA",0,
SAIC Innovation Center,Machine Learning Research Engineer (HMI),"San Jose, CA",0,
TARGET,Lead Data Scientist,"Sunnyvale, CA",0,
Google,"Strategy, Planning and Analysis Manager, Staffing","Mountain View, CA",0,
Apple,"Machine Learning Manager, Maps Routing & Traffic","Santa Clara Valley, CA",0,
Apple,"Machine Learning Engineer, Maps Real-Time Traffic","Santa Clara Valley, CA",0,
Calsoft Labs,Research Analyst,"Menlo Park, CA",0,
Eurofins,"Scientist, HPLC Chemist","Foster City, CA",0,
Jobspring Partners,Machine Learning Engineer - Automotive,"San Jose, CA 95113 (Downtown area)","$170,000 - $200,000 a year",
Jetlore,Distributed Systems Engineer,"Sunnyvale, CA",0,
Approgence Inc.,Machine Learning Engineer (Full time),"San Jose, CA",0,
Intuit,Associate Data Scientist,"Mountain View, CA 94039",0,
Human API,Machine Learning Engineer,"Redwood City, CA",0,
Uber,Software Engineer- Machine Learning & Fraud (Palo Alto),"Palo Alto, CA 94301 (Professorville area)",0,
"Move, Inc.","Director of Analytics, Pricing & Sales","Santa Clara, CA",0,
Stanford Health Care,Customer Service Representative,"Palo Alto, CA 94305",0,
FocusKPI Inc.,Data Scientist (Modeling Experience),"Mountain View, CA",0,
Harnham,VP of Data Science,"Palo Alto, CA","$200,000 a year",SAS SQL Python Java machine learning
Adobe,"Specialist, Testing and Optimization","San Jose, CA",0,
Netflix,Senior Analytics Engineer - Playback Data,"Los Gatos, CA",0,
Jobspring Partners,Data Scientist- NLP/Machine Learning experience,"San Jose, CA 95113 (Downtown area)","$150,000 - $180,000 a year",
"Integrated DNA Technologies, Inc",Bioinformatics Staff Scientist,"Redwood City, CA",0,
Quartzy,Content Marketing Specialist,"Palo Alto, CA",0,
"Pharmacyclics, LLC",Scientist 1,"Sunnyvale, CA",0,
Intuit,"Development Manager, Search","Mountain View, CA 94039",0,
Google,"UX Researcher, VR and AR","Mountain View, CA",0,
ABBOTT LABORATORIES,Sr Staff Scientist Analyst - Chemist,"Santa Clara, CA",0,
Platfora,"Staff or Lead Engineer, Analytics & Distributed Data Process...","San Mateo, CA 94402 (Beresford area)",0,
Intellipro Group Inc.,Sr. Staff Engineer,"Santa Clara, CA",0,
LinkedRoad Inc,Market Research Analyst,"Milpitas, CA 95035",$30 an hour,SAS SPSS
TE Connectivity,SCIENTIST,"Menlo Park, CA",0,
Natera,Associate Scientist,"San Carlos, CA 94070",0,
Jetlore,Senior ​Software Engineer,"Sunnyvale, CA",0,
inVentiv Health Clinical,Scientist I/II,"Pleasanton, CA",0,
Lab Support,Research Associate - Applications,"Pleasanton, CA",0,
"OSI Engineering, Inc.","Market Research Analyst, Automotive in Torrance,CA","Mountain View, CA",0,
Nokia,Software Quality Engineer- 200,"Mountain View, CA",0,
AppLovin,Senior Software Engineer (Ad Server),"Palo Alto, CA",0,
Natera,Head of Compliance,"San Carlos, CA 94070",0,
"Education, Training and Research (ETR)",Program ManagerI,"Scotts Valley, CA 95066",0,
Apple,Senior Software Engineer - Maps,"Santa Clara Valley, CA",0,
Stanford University,Clinical Trials Regulatory Specialist 2,"Stanford, CA 94305",0,
Clinical Solutions Group,Statistical Programmer,"San Mateo, CA 94403 (Sugerloaf area)",0,
"Magic Leap, Inc.",Computer Vision Researcher/Engineer,"Mountain View, CA 94040",0,
Rambus,"Computer Vision, Pattern Recognition and Optimization Expert","Sunnyvale, CA 94089",0,
Apple,Apple Maps Data Scientist,"Santa Clara Valley, CA",0,
"Magic Leap, Inc.",Network Administrator (CA),"Mountain View, CA 94040",0,
"GRAIL, Inc.",SOFTWARE ENGINEER,"Redwood City, CA",0,
analyticsMD,Senior Data Scientist,"Mountain View, CA",0,
"Amazon Web Services, Inc.",Sr. Software Engineer – Emerging AWS Machine Learning Platfo...,"Palo Alto, CA",0,
DuPont,Scientist I/II Biochemistry/Enzymology (PhD),"Palo Alto, CA",0,
Telenav,Sr. Engineering Manager,"Santa Clara, CA",0,
Gilead,"Associate Scientist I, Fibrosis","Foster City, CA",0,
Citrix,"Sr Software Engineer, (Big Data Engineer, Hadoop/AWS)","Mountain View, CA",0,
Hikvision USA Inc.,"Senior Research Scientist, Computer Vision & Machine Learnin...","Santa Clara, CA",0,
ServiceNow,ITSM Data Scientist,"Santa Clara, CA",0,
Oxford International,"Machine Learning, Tensor Flow, Expert","Sunnyvale, CA 94089",0,
SAP,Data Scientist Product Manager Job,"Palo Alto, CA",0,
Stride Search,Machine Learning Scientist,"Sunnyvale, CA",0,
"Pharmacyclics, LLC",Senior Statistical Analyst (Biometrics),"Sunnyvale, CA",0,
Boehringer Ingelheim,"Principal Scientist, Protein Science","Fremont, CA",0,
Immersion,Sr. UX Researcher,"San Jose, CA 95131 (North Valley area)",0,
"NextDeavor, Inc.",Tech Lead Full-Stack Engineer,"Mountain View, CA 94041","$150,000 a year",SQL Java Hadoop Spark machine learning
Facebook,"Data Scientist, Population and Survey Sciences","Menlo Park, CA",0,
Incube Labs,Research Scientist,"San Jose, CA 95131 (North Valley area)",0,
Apple,"Predictive Search Manager, Machine Learning","Santa Clara Valley, CA",0,
Amazon Corporate LLC,Software Development Engineer – Emerging AWS Machine Learnin...,"Palo Alto, CA",0,
Geomagical Labs,Smartphone SLAM R&D,"Mountain View, CA",0,
"23andMe, Inc.",Survey Methodologist,"Mountain View, CA 94041",0,
Datanyze,Technology market research analyst,"San Mateo, CA 94402 (Beresford area)",0,
Samsung,Sr. Technical Product Manager - Big Data,"Mountain View, CA",0,
Poshmark,Data Science & Analytics Manager,"Redwood City, CA",0,
Samsung Electronics America,Sr. Technical Product Manager - Big Data,"Mountain View, CA",0,
Danaher,"Field Applications Scientist, BioProduct Development","Sunnyvale, CA",0,
Baidu USA,Research Scientist - Institute of Deep Learning,"Sunnyvale, CA 94089",0,
"23andMe, Inc.","Scientist / Sr. Scientist, Statistical Genetics","Mountain View, CA 94041",0,
Beepi,Lead Data Scientist - Pricing Team,"Mountain View, CA",0,
Quartzy,Performance Marketing Specialist,"Palo Alto, CA",0,
Jazz Pharmaceuticals,"Clinical Scientist, Sleep Development","Palo Alto, CA 94304",0,
Apple,Data Scientist - iTunes Store Commerce,"Santa Clara Valley, CA",0,
Tandem Recruiting Group,Senior Machine Learning Scientist,"Santa Clara, CA","$200,000 a year",
Payette Group,Sr. Data Analysis,"Menlo Park, CA",0,
RetailNext,Research Scientist - Computer Vision,"San Jose, CA",0,
Codexis,Analytical Development Scientist,"Redwood City, CA",0,
Gilead,Research Scientist I- HBV Discovery Virology,"Foster City, CA",0,
Baidu USA,Product Manager - Big Data Lab,"Sunnyvale, CA 94089",0,
SAP,Business Developer for Machine Learning development Job,"Palo Alto, CA",0,
Dell,Data Scientist I,"Palo Alto, CA",0,
Ardelyx,Senior Director of Quality Assurance,"Fremont, CA 94555 (Northgate area)",0,
Adobe,Sr. Software Engineer,"San Jose, CA",0,
"Ruckus Wireless, Inc",Principal Data Scientist,"Sunnyvale, CA",0,
Summit Public Schools,Manager of Data Analysis,"Redwood City, CA",0,
Zoomdata,Channel / Alliance Sales Manager,"San Mateo, CA",0,
Apple,Sr. Data Scientist - Applied Machine Learning,"Santa Clara Valley, CA",0,
"Stellar Labs, Inc.",Senior Software Architect,"Redwood City, CA",0,
Walmart eCommerce,Principal Customer Tools Engineer,"Sunnyvale, CA",0,
A9.com,Sr. Software Development Engineer - Search Relevance (Fashio...,"Palo Alto, CA",0,
Workbridge Associates,Lead Data Scientist,"San Jose, CA 95113 (Downtown area)","$150,000 - $180,000 a year",
Qeexo,Machine Learning Engineer,"Mountain View, CA 94043",0,
Kaiser Permanente,"Molecular Technologist II, Grade 845","San Jose, CA",0,
Stem Inc,Senior Data Architect,"Millbrae, CA 94030",0,
Facebook,"Technical Sourcer, Machine Learning","Menlo Park, CA",0,
"Omnivision Technologies, Inc",Marketing Intelligence Research Analyst,"Santa Clara, CA 95054",0,
LeEco,Payment Research Analyst,"San Jose, CA",0,
Apple,"Sr Software Engineer, Applied Machine Learning","Santa Clara Valley, CA",0,
Canalys,Research Analyst,"Palo Alto, CA",0,
"Illumina, Inc.",Deep Learning Engineer,"Santa Clara, CA",0,
Apple,Camera System Engineer,"Santa Clara Valley, CA",0,
Google,"Camera Systems Hardware Test Engineer, Self-Driving Car, X","Mountain View, CA",0,
"Amazon Web Services, Inc.",Software Engineer – Emerging AWS Machine Learning Platforms,"Palo Alto, CA",0,
"Hitachi America, Ltd.","Research Scientist, System Engineering","Santa Clara, CA 95054",0,
Apttus,Machine Learning Engineer,"San Mateo, CA 94404",0,
Guardant Health,Technical Supervisor,"Redwood City, CA",0,
Huawei,"Data Scientist, Cloud Platform","Santa Clara, CA",0,
Jobspring Partners,Software Developer in Test (C++ and Machine Learning),"Sunnyvale, CA",$50 - $65 an hour,
Baidu USA,Software Engineer - Big Data Lab,"Sunnyvale, CA 94089",0,
Proofpoint,Senior Software Engineer (Tools & Data Science),"Sunnyvale, CA 94089",0,
Baidu USA,Machine Learning Engineer,"Sunnyvale, CA 94089",0,
Merck,"Scientist, Molecular Discovery - Antibody Job","Palo Alto, CA",0,
Huawei,"Principal Engineer, Machine Learning & Artificial Intelligen...","Santa Clara, CA",0,
Silicon Valley Data Science,Senior Solution Architect,"Mountain View, CA",0,
"PARC, a Xerox company","Prognostics, Systems Health Management and Predictive Analyt...","Palo Alto, CA",0,
Wako Life Sciences,Research Associate,"Mountain View, CA 94043",0,
Google,"Quantitative Analyst Intern, Summer 2017","Mountain View, CA",0,
Ford Motor Company,Automated Driving Research Scientist – Machine Learning,"Palo Alto, CA 94303 (Duveneck-Saint Francis area)",0,
Gilead,Research Scientist I- Analytical Operations,"Foster City, CA",0,
NVIDIA,"Deep Learning Instructor, NVIDIA Deep Learning Institute","Santa Clara, CA",0,
Google,"Software Engineer Manager, People Analytics","Mountain View, CA",0,
Equilar,Research Analyst and/or Leadership Rotation Program,"Redwood City, CA 94063",0,
Baidu USA,Security Scientist,"Sunnyvale, CA 94089",0,
SlipChip,Research Scientist - Molecular Biology,"Menlo Park, CA 94025",0,
Nominum,Marketing Campaigns Manager,"Redwood City, CA 94063",0,
